time,wx,wy,wz
2.086,-0.00,-0.00,0.02
2.086,-0.00,0.00,0.02
2.088,-0.00,0.00,0.02
2.093,-0.00,0.01,0.02
2.114,-0.00,0.01,0.02
2.115,-0.00,0.01,0.02
2.116,-0.01,0.01,0.03
2.116,0.00,0.01,0.03
2.116,0.00,0.01,0.02
2.117,0.01,0.01,0.03
2.119,0.01,0.01,0.02
2.123,0.01,0.01,0.03
2.128,0.00,0.01,0.03
2.132,-0.00,0.01,0.03
2.135,-0.01,0.01,0.03
2.139,-0.01,0.01,0.04
2.143,-0.01,0.01,0.04
2.147,-0.01,0.00,0.04
2.152,-0.01,0.00,0.04
2.155,-0.01,0.00,0.04
2.159,-0.01,0.00,0.04
2.164,-0.01,0.00,0.04
2.167,-0.01,-0.00,0.03
2.171,-0.01,-0.00,0.03
2.181,-0.01,-0.00,0.03
2.181,-0.01,-0.00,0.03
2.183,-0.02,-0.00,0.04
2.187,-0.02,-0.00,0.04
2.191,-0.01,-0.00,0.04
2.195,-0.02,-0.01,0.04
2.201,-0.01,-0.01,0.05
2.202,-0.01,-0.00,0.05
2.224,-0.01,-0.01,0.05
2.225,-0.01,-0.00,0.05
2.226,-0.01,-0.00,0.05
2.226,-0.01,-0.01,0.05
2.226,-0.01,-0.01,0.05
2.226,-0.01,-0.01,0.04
2.234,-0.01,-0.01,0.04
2.235,-0.01,-0.01,0.03
2.238,-0.02,-0.01,0.02
2.242,-0.02,-0.01,0.01
2.247,-0.01,-0.02,0.00
2.250,-0.01,-0.02,0.00
2.254,-0.00,-0.01,-0.00
2.258,0.00,-0.01,-0.00
2.262,0.01,-0.00,-0.00
2.267,0.01,0.00,-0.00
2.270,0.01,0.00,0.00
2.274,0.00,0.00,0.00
2.277,0.00,0.00,0.01
2.285,-0.00,0.01,0.01
2.286,-0.00,0.01,0.01
2.291,0.00,0.01,0.01
2.293,-0.00,0.01,0.01
2.310,0.00,0.01,0.01
2.312,-0.00,0.01,0.01
2.312,-0.01,0.01,0.01
2.313,-0.01,0.01,0.01
2.320,-0.01,0.01,0.01
2.321,-0.01,0.01,0.01
2.322,-0.01,0.01,0.01
2.325,-0.01,0.01,0.00
2.329,-0.01,0.01,0.00
2.333,-0.01,0.01,-0.00
2.337,-0.01,0.00,-0.00
2.341,-0.01,0.00,-0.00
2.344,-0.00,0.00,-0.01
2.348,0.00,-0.00,-0.01
2.353,0.00,-0.00,-0.00
2.356,0.01,-0.00,-0.00
2.360,0.01,0.00,-0.00
2.364,0.00,0.00,-0.00
2.368,-0.00,0.00,-0.00
2.372,-0.01,0.00,-0.00
2.376,-0.01,0.00,-0.00
2.381,-0.01,-0.00,-0.01
2.384,-0.01,-0.01,-0.01
2.388,-0.01,-0.01,-0.01
2.392,-0.01,-0.00,-0.01
2.396,-0.01,-0.00,-0.01
2.401,-0.01,-0.00,-0.01
2.403,-0.02,-0.00,-0.01
2.408,-0.02,-0.00,-0.01
2.413,-0.02,-0.00,-0.01
2.426,-0.02,-0.00,-0.01
2.428,-0.02,-0.01,-0.01
2.428,-0.02,-0.01,-0.01
2.428,-0.02,-0.01,-0.01
2.435,-0.02,-0.01,-0.01
2.437,-0.02,-0.00,-0.01
2.440,-0.01,-0.00,-0.01
2.443,-0.01,-0.00,-0.01
2.448,-0.01,-0.00,-0.01
2.451,-0.01,-0.00,-0.01
2.456,-0.01,-0.00,-0.01
2.462,-0.02,-0.00,-0.02
2.464,-0.02,-0.00,-0.02
2.468,-0.02,-0.00,-0.02
2.472,-0.02,-0.00,-0.02
2.475,-0.02,-0.00,-0.03
2.480,-0.01,-0.00,-0.03
2.484,-0.02,-0.01,-0.03
2.487,-0.02,-0.01,-0.03
2.491,-0.02,-0.01,-0.03
2.495,-0.02,-0.01,-0.03
2.502,-0.02,-0.01,-0.03
2.503,-0.02,-0.01,-0.03
2.506,-0.02,-0.01,-0.03
2.511,-0.01,-0.01,-0.03
2.528,-0.02,-0.01,-0.03
2.530,-0.02,-0.01,-0.03
2.530,-0.02,-0.01,-0.03
2.530,-0.02,-0.01,-0.02
2.531,-0.01,-0.00,-0.02
2.534,-0.01,-0.00,-0.02
2.538,-0.01,-0.00,-0.01
2.542,-0.01,0.00,-0.01
2.545,-0.01,0.01,-0.01
2.550,-0.01,0.01,-0.01
2.554,-0.01,0.00,-0.01
2.558,-0.02,0.00,-0.01
2.562,-0.02,0.00,-0.01
2.566,-0.02,0.00,-0.01
2.570,-0.02,0.00,-0.01
2.574,-0.01,-0.00,-0.02
2.577,-0.01,-0.01,-0.02
2.585,-0.01,-0.01,-0.02
2.586,-0.01,-0.01,-0.02
2.590,-0.00,-0.00,-0.01
2.593,-0.00,-0.00,-0.01
2.599,-0.00,0.00,-0.01
2.603,0.00,0.00,-0.00
2.606,0.00,0.00,-0.00
2.609,0.00,0.00,0.00
2.621,0.00,0.01,0.00
2.622,0.00,0.00,0.00
2.622,0.00,0.01,0.00
2.626,0.00,0.01,0.00
2.629,0.00,0.01,0.01
2.637,-0.00,0.01,0.00
2.638,-0.00,0.00,0.00
2.641,-0.01,0.00,-0.00
2.645,-0.00,0.00,-0.00
2.655,-0.00,0.01,-0.01
2.656,-0.00,0.01,-0.01
2.657,-0.00,0.01,-0.01
2.661,-0.00,0.01,-0.00
2.673,0.00,0.01,-0.00
2.674,-0.00,0.00,0.00
2.674,-0.00,0.01,0.01
2.676,0.00,0.01,0.01
2.682,0.00,0.01,0.02
2.685,0.00,0.01,0.02
2.688,-0.00,0.01,0.02
2.692,0.00,0.01,0.02
2.696,0.01,0.01,0.02
2.702,0.01,0.01,0.02
2.709,0.01,0.01,0.03
2.712,0.01,0.01,0.03
2.712,0.01,0.01,0.03
2.731,0.00,0.01,0.02
2.732,-0.00,0.01,0.02
2.732,0.00,0.01,0.02
2.733,-0.00,0.01,0.01
2.733,-0.00,0.01,0.01
2.735,-0.00,0.01,0.00
2.740,-0.01,0.01,0.00
2.744,-0.00,0.01,0.00
2.748,-0.00,0.01,-0.00
2.751,-0.00,0.00,-0.00
2.755,-0.00,0.00,-0.00
2.759,-0.00,0.00,-0.00
2.763,-0.00,0.00,-0.00
2.768,0.00,0.00,-0.00
2.771,0.00,0.01,-0.00
2.775,0.00,0.01,-0.00
2.779,0.00,0.01,-0.00
2.786,0.00,0.00,0.00
2.788,0.00,0.00,-0.00
2.791,0.00,0.00,-0.01
2.810,0.00,0.00,-0.01
2.811,0.00,0.00,-0.01
2.811,0.01,0.00,-0.01
2.812,0.01,0.00,-0.01
2.812,0.01,0.00,-0.01
2.819,0.01,0.00,-0.01
2.820,0.01,0.00,-0.01
2.822,0.01,0.01,-0.01
2.827,0.01,0.01,-0.01
2.830,0.02,0.01,-0.00
2.834,0.01,0.01,-0.00
2.838,0.01,0.01,0.00
2.842,0.01,0.01,-0.00
2.846,0.01,0.01,-0.00
2.850,0.01,0.01,-0.00
2.854,0.01,0.00,-0.00
2.858,0.00,0.00,-0.00
2.862,0.00,0.00,-0.00
2.867,0.00,0.00,-0.01
2.871,0.00,0.00,-0.01
2.874,0.00,0.00,-0.02
2.878,0.00,0.00,-0.02
2.886,0.01,-0.00,-0.02
2.887,0.01,-0.00,-0.02
2.889,0.00,0.00,-0.02
2.893,0.00,-0.00,-0.02
2.898,0.00,-0.00,-0.01
2.911,0.01,0.00,-0.01
2.912,0.00,0.00,0.00
2.913,-0.00,0.01,0.01
2.913,0.00,0.01,0.01
2.921,-0.01,0.01,0.02
2.922,-0.00,0.01,0.02
2.925,0.00,0.01,0.03
2.929,0.00,0.01,0.03
2.934,0.00,0.01,0.03
2.937,0.01,0.01,0.03
2.941,0.00,0.01,0.02
2.945,0.01,0.01,0.02
2.951,0.00,0.01,0.01
2.953,0.01,0.01,0.01
2.957,0.02,0.01,0.01
2.960,0.01,0.01,0.01
2.966,0.01,0.00,0.01
2.969,0.01,0.00,0.00
2.972,0.01,0.00,0.00
2.977,0.01,0.00,-0.00
2.981,0.01,0.00,-0.01
2.984,0.01,0.00,-0.01
2.988,0.01,0.00,-0.01
2.993,0.01,0.00,-0.01
2.996,0.01,0.00,-0.01
3.002,0.01,0.00,-0.01
3.006,0.01,0.00,-0.01
3.008,0.02,0.01,-0.01
3.011,0.01,0.01,-0.01
3.033,0.01,0.01,-0.00
3.034,0.01,0.01,0.00
3.034,0.01,0.01,0.00
3.034,0.01,0.01,0.00
3.035,0.01,0.01,0.01
3.037,0.01,0.01,0.01
3.046,0.01,0.01,0.01
3.047,0.01,0.01,0.01
3.047,0.01,0.01,0.01
3.051,0.01,0.01,0.00
3.055,0.01,0.00,0.00
3.059,0.01,0.00,-0.00
3.064,0.03,0.00,-0.00
3.068,0.02,-0.00,-0.00
3.071,0.01,-0.00,-0.01
3.075,0.00,-0.00,-0.01
3.078,0.01,-0.00,-0.01
3.084,0.02,0.00,-0.01
3.086,0.01,0.00,-0.01
3.090,0.00,-0.00,-0.01
3.094,0.01,0.00,-0.00
3.103,0.01,-0.00,0.00
3.103,0.00,0.00,0.00
3.106,0.01,0.00,0.01
3.110,0.00,0.01,0.01
3.115,0.01,0.01,0.02
3.119,0.01,0.01,0.02
3.122,0.01,0.01,0.03
3.125,0.01,0.00,0.03
3.129,0.01,0.01,0.03
