time,gFx,gFy,gFz,TgF
2.623000,0.1202,0.9931,0.0991,1.005
2.628000,0.1183,0.9924,0.0964,1.004
2.632000,0.1210,0.9921,0.1022,1.005
2.637000,0.1180,0.9919,0.1042,1.004
2.642000,0.1197,0.9914,0.1057,1.004
2.648000,0.1202,0.9926,0.1079,1.006
2.652000,0.1197,0.9914,0.1110,1.005
2.657000,0.1224,0.9911,0.1122,1.005
2.661000,0.1222,0.9924,0.1110,1.006
2.668000,0.1254,0.9933,0.1047,1.007
2.672000,0.1322,0.9907,0.1017,1.005
2.677000,0.1337,0.9916,0.0991,1.005
2.682000,0.1351,0.9929,0.1013,1.007
2.686000,0.1366,0.9919,0.1059,1.007
2.692000,0.1368,0.9931,0.1049,1.008
2.697000,0.1361,0.9914,0.1020,1.006
2.700000,0.1334,0.9929,0.0976,1.007
2.706000,0.1337,0.9929,0.0966,1.006
2.711000,0.1319,0.9933,0.0983,1.007
2.716000,0.1278,0.9921,0.1000,1.005
2.721000,0.1217,0.9924,0.1064,1.005
2.726000,0.1151,0.9929,0.1061,1.005
2.730000,0.1197,0.9907,0.1127,1.004
2.735000,0.1232,0.9926,0.1127,1.007
2.741000,0.1278,0.9931,0.1076,1.007
2.746000,0.1276,0.9931,0.1083,1.007
2.750000,0.1288,0.9924,0.1083,1.007
2.755000,0.1266,0.9902,0.1027,1.004
2.760000,0.1251,0.9902,0.1027,1.003
2.768000,0.1244,0.9926,0.1013,1.005
2.772000,0.1261,0.9926,0.0988,1.005
2.775000,0.1263,0.9921,0.0976,1.005
2.780000,0.1217,0.9897,0.0996,1.002
2.784000,0.1070,0.9929,0.1017,1.004
2.790000,0.1268,0.9926,0.1081,1.007
2.795000,0.1415,0.9882,0.1105,1.004
2.799000,0.1280,0.9907,0.1181,1.006
2.804000,0.1153,0.9921,0.1154,1.005
2.810000,0.1171,0.9902,0.1032,1.002
2.815000,0.1114,0.9907,0.0937,1.001
2.819000,0.1119,0.9926,0.0966,1.004
2.823000,0.1215,0.9924,0.0878,1.004
2.829000,0.1185,0.9904,0.0893,1.001
2.834000,0.1195,0.9907,0.0939,1.002
